name,size,time,comparisons
quicksort,673000,0.058983,7722418
quicksort,674000,0.064711,8772476
quicksort,675000,0.058410,8343357
quicksort,676000,0.062617,8494400
quicksort,677000,0.057748,7933662
quicksort,678000,0.063337,7376512
quicksort,679000,0.056951,7603717
quicksort,680000,0.064153,8313340
quicksort,681000,0.059086,8850743
quicksort,682000,0.062505,7663277
quicksort,683000,0.059759,7736191
quicksort,684000,0.059694,7923481
quicksort,685000,0.058420,8604162
quicksort,686000,0.062879,8050426
quicksort,687000,0.059409,8822936
quicksort,688000,0.060446,8439724
quicksort,689000,0.058853,8308932
quicksort,690000,0.060177,7943623
quicksort,691000,0.063515,8680730
quicksort,692000,0.061762,8874781
quicksort,693000,0.060971,8179225
quicksort,694000,0.063789,7825538
quicksort,695000,0.060032,8765595
quicksort,696000,0.064378,8081231
quicksort,697000,0.060285,8527600
quicksort,698000,0.063871,8270186
quicksort,699000,0.061487,8034082
quicksort,700000,0.064796,7952933
quicksort,701000,0.066162,8278160
quicksort,702000,0.062052,8381787
quicksort,703000,0.061455,9220647
quicksort,704000,0.063632,8938154
quicksort,705000,0.062352,8146206
quicksort,706000,0.063609,8702122
quicksort,707000,0.066898,8095223
quicksort,708000,0.065748,8876842
quicksort,709000,0.088986,9284374
quicksort,710000,0.062716,8689538
quicksort,711000,0.064337,9089447
quicksort,712000,0.063770,8149924
quicksort,713000,0.065054,8044479
quicksort,714000,0.067702,9308506
quicksort,715000,0.064033,7903551
quicksort,716000,0.062901,8749867
quicksort,717000,0.064073,8698997
quicksort,718000,0.064250,8402573
quicksort,719000,0.064172,9216794
quicksort,720000,0.064011,9511224
quicksort,721000,0.065040,9339506
quicksort,722000,0.063799,8145532
quicksort,723000,0.064308,9346049
quicksort,724000,0.068084,9454448
quicksort,725000,0.064834,8028558
quicksort,726000,0.065505,8748428
quicksort,727000,0.066310,8522298
quicksort,728000,0.064953,9385007
quicksort,729000,0.066168,8775156
quicksort,730000,0.063629,8480290
quicksort,731000,0.063619,8837635
